Price,Close,High,Low,Open,Volume
Ticker,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS
Date,,,,,
2017-11-27,811.90673828125,818.0502072279742,804.7881826095288,818.0502072279742,3544024
2017-11-28,797.7671508789062,812.2968543131586,794.7442212067518,811.3217080294694,1748906
2017-11-29,797.7671508789062,807.8599506260136,792.7939286393732,799.6199526251982,1660305
2017-11-30,798.5472412109375,802.4478259827224,788.0156147125582,791.8187086723285,2808579
2017-12-01,785.2364501953125,805.178201194257,778.654213574613,800.5950023102782,1562677
2017-12-04,784.5537719726562,793.6226186732678,778.1665770098607,785.1388953354597,1291369
2017-12-05,772.90087890625,789.8684471334344,767.0500015200764,788.6495143446483,1136767
2017-12-06,754.373046875,775.5824758917264,750.8625445002004,771.2918684912157,1742133
2017-12-07,780.7020263671875,786.9429858740889,754.3730788844113,755.7383073759837,2085106
2017-12-08,790.7948608398438,800.9363460968439,775.4850528596282,775.4850528596282,2844071
2017-12-11,800.2049560546875,804.4468777787688,790.8435762467171,792.793868666561,1788914
2017-12-12,801.9603271484375,810.9316253397321,793.9641157221827,799.8637388321772,2325014
2017-12-13,798.595947265625,823.267132827836,791.6723739259502,801.0825580314685,3127944
2017-12-14,795.9630126953125,807.420979493683,785.0901097559637,799.619810609686,3020320
2017-12-15,812.1504516601562,815.2221858567281,798.1571281384354,805.7145108422507,2015120
2017-12-18,819.22021484375,825.3148779690553,782.0671722391671,809.3712630405346,1698653
2017-12-19,846.7681884765625,849.352349742877,822.1457466499177,823.998548258015,3308280
2017-12-20,841.50244140625,850.3275027826359,839.89342633797,847.7433414955684,1105619
2017-12-21,837.1141357421875,844.9153041162435,833.7011245785379,841.4535475538944,897152
2017-12-22,835.553955078125,847.0119223441617,832.6773215492952,837.6505431085512,1381784
2017-12-26,833.5549926757812,842.4288591560909,831.3609136393942,835.7003263038893,1467917
2017-12-27,827.9478149414062,838.8207181660599,821.0730465856291,835.115174752567,735296
2017-12-28,830.5320434570312,835.0664376471591,819.7078847565099,828.7279872478435,980277
2017-12-29,836.8217163085938,842.2825110971393,830.2394796082689,833.2624089522494,1245513
2018-01-01,831.263427734375,840.6248078709907,829.8981991852753,836.3829455161937,472607
2018-01-02,824.1448364257812,837.1142690087128,819.7078735921302,832.8723473191016,1181949
2018-01-03,835.017578125,847.7920275103003,831.7996079579923,842.4287240592229,2606556
2018-01-04,870.7080688476562,875.144972169611,831.8972023366828,842.9164020499737,3028931
2018-01-05,887.090576171875,891.2349478308175,871.2931946506179,872.7559140596564,4036882
2018-01-08,903.0828857421875,906.8859797872858,884.2138302926037,888.3582017056101,2112170
2018-01-09,909.7626342773438,915.17468363548,894.4528274530038,902.0102102960246,2419079
2018-01-10,894.794189453125,912.1518405943183,889.2359033541052,909.3238926169676,1605433
2018-01-11,884.360107421875,894.8916744167217,880.8495454114592,894.1115693649183,1597329
2018-01-12,881.337158203125,894.5991827538919,870.2692722065649,883.4824918308582,1874518
2018-01-15,895.427978515625,898.987285874859,875.3887364486728,886.407876363412,2195562
2018-01-16,867.2951049804688,904.4481535733427,860.6640628167962,903.9605804447317,2383484
2018-01-17,870.9030151367188,873.2921351418172,841.0635663298605,870.6104831912003,2553841
2018-01-18,863.8333129882812,881.142159551606,853.2529996005172,875.4375775901307,1285534
