Price,Close,High,Low,Open,Volume
Ticker,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS
Date,,,,,
2017-12-12,359.1255187988281,361.83372220753506,357.0943537198563,361.5054589223711,2921624
2017-12-13,355.4940490722656,358.44846883907655,354.13994731723517,356.991783238288,8609940
2017-12-14,362.2645263671875,363.1672690779785,353.7911170566256,354.11938030285495,6365040
2017-12-15,365.9371337890625,367.8452035686353,363.14685785631906,364.7471760614374,4469222
2017-12-18,363.14678955078125,365.91655319989735,359.3511875131036,364.41881913464454,2615662
2017-12-19,356.76611328125,364.7881652240505,354.94011576918297,364.7881652240505,3971188
2017-12-20,356.93017578125,359.0434127427741,354.52972412543636,356.99173609852966,2109744
2017-12-21,365.301025390625,366.01911221391464,357.58672624083255,358.6330763172213,2859366
2017-12-22,363.9264831542969,366.38849560081627,360.3155115301598,365.6088483081308,2104074
2017-12-26,364.5624694824219,366.55258603624645,361.9363130604726,361.95682482027706,2127136
2017-12-27,362.5928649902344,365.85501119325636,361.32081029780977,363.5571431058008,801620
2017-12-28,360.3974304199219,365.54713258916917,359.28952028097075,361.9156757921975,2319726
2017-12-29,365.4035949707031,370.0198672260882,359.04339764106146,360.3974991603318,3093850
2018-01-01,360.5616149902344,365.48563834265855,359.4331929719705,364.7880633587562,1286288
2018-01-02,366.347412109375,367.2501549293512,359.8025579706518,359.82309477499024,1906518
2018-01-03,368.19390869140625,372.50242991491456,366.4294716755174,366.4294716755174,2583906
2018-01-04,366.4704895019531,369.07613399025445,362.3466242610414,367.66047202982395,1193460
2018-01-05,369.322265625,370.53275971610464,362.03881436812196,364.4803143054595,1492292
2018-01-08,369.5069274902344,370.6969098454669,367.2911069132077,369.3633201571346,2353168
2018-01-09,366.7781982421875,370.47121594576333,363.14674085162295,369.50693800778134,2504270
2018-01-10,375.8055725097656,376.6878034180755,365.6497738881999,366.01908567420844,3400572
2018-01-11,376.2364501953125,379.5191326267869,373.42563833643493,377.0981443156228,4243446
2018-01-12,379.9295654296875,380.79125977112903,374.32847707566,376.8930733833858,1980698
2018-01-15,373.0973205566406,382.06313561888015,371.55856339184834,379.5601006487683,2536486
2018-01-16,389.5107421875,391.8701699121017,373.4050833717409,375.08744790524537,8963404
2018-01-17,390.9879455566406,395.39904963642954,387.0692488017105,389.8185000743683,5498922
2018-01-18,391.56243896484375,393.77825948361766,385.9203288933042,391.04951986743106,1869500
2018-01-19,393.2243347167969,396.79425703310284,388.2387755731438,392.6909038062869,4748438
2018-01-22,396.5274658203125,400.03585230565454,387.76681809609215,393.92184695476027,4431318
2018-01-23,408.42724609375,410.3353153279771,397.4302646519362,398.0047441113474,5015202
